,equity_usd
2021-06-23 00:00:00+00:00,149710.04786599934
2021-06-24 00:00:00+00:00,149668.4469239291
2021-06-25 00:00:00+00:00,149645.3285490159
2021-06-28 00:00:00+00:00,149632.03302202985
2021-06-29 00:00:00+00:00,149557.21700551885
2021-06-30 00:00:00+00:00,149567.20311436593
2021-07-01 00:00:00+00:00,149537.18333281224
2021-07-02 00:00:00+00:00,149689.6093901829
2021-07-05 00:00:00+00:00,149684.31424072228
2021-07-06 00:00:00+00:00,149681.46533599144
2021-07-07 00:00:00+00:00,149656.50940778968
2021-07-08 00:00:00+00:00,149895.17990320732
2021-07-09 00:00:00+00:00,149894.51565411527
2021-07-12 00:00:00+00:00,149843.4958331217
2021-07-13 00:00:00+00:00,149878.63042870435
2021-07-14 00:00:00+00:00,149830.74141831795
2021-07-15 00:00:00+00:00,149766.07948690027
2021-07-16 00:00:00+00:00,149723.4928262494
2021-07-19 00:00:00+00:00,149661.38430652054
2021-07-20 00:00:00+00:00,149651.04997755535
2021-07-21 00:00:00+00:00,149596.76878117514
2021-07-22 00:00:00+00:00,149637.04124921173
2021-07-23 00:00:00+00:00,149621.78739015918
2021-07-26 00:00:00+00:00,149674.08616435074
2021-07-27 00:00:00+00:00,149689.81813223174
2021-07-28 00:00:00+00:00,149673.77095504952
2021-07-29 00:00:00+00:00,149687.44739438457
2021-07-30 00:00:00+00:00,149624.70991119763
2021-08-02 00:00:00+00:00,149607.16027687214
2021-08-03 00:00:00+00:00,149616.31575585532
2021-08-04 00:00:00+00:00,149587.36248469568
2021-08-05 00:00:00+00:00,149619.19774389116
2021-08-06 00:00:00+00:00,149607.3068200271
2021-08-09 00:00:00+00:00,149532.52031557148
2021-08-10 00:00:00+00:00,149477.53348931787
2021-08-11 00:00:00+00:00,149462.15588706182
2021-08-12 00:00:00+00:00,149437.2220916589
2021-08-13 00:00:00+00:00,149437.2220916589
2021-08-16 00:00:00+00:00,149377.23519586748
2021-08-17 00:00:00+00:00,149334.56461777157
2021-08-18 00:00:00+00:00,149381.48963097963
2021-08-19 00:00:00+00:00,149322.23931305783
2021-08-20 00:00:00+00:00,149343.1359986161
2021-08-23 00:00:00+00:00,149346.2015538411
2021-08-24 00:00:00+00:00,149289.52197132367
2021-08-25 00:00:00+00:00,149226.12580524173
2021-08-26 00:00:00+00:00,149165.3857599594
2021-08-27 00:00:00+00:00,149151.46887515692
2021-08-30 00:00:00+00:00,149139.05830772404
2021-08-31 00:00:00+00:00,149105.92306196055
2021-09-01 00:00:00+00:00,149059.92673433892
2021-09-02 00:00:00+00:00,149119.55070503266
2021-09-03 00:00:00+00:00,149054.81911119525
2021-09-06 00:00:00+00:00,149010.01310198815
2021-09-07 00:00:00+00:00,149011.82494737202
2021-09-08 00:00:00+00:00,148958.97818190212
2021-09-09 00:00:00+00:00,148932.19837181756
2021-09-10 00:00:00+00:00,149007.2602896082
2021-09-13 00:00:00+00:00,149074.9480775974
2021-09-14 00:00:00+00:00,149055.4714098486
2021-09-15 00:00:00+00:00,149071.53017515474
2021-09-16 00:00:00+00:00,149014.22668999824
2021-09-17 00:00:00+00:00,148949.13140195838
2021-09-20 00:00:00+00:00,148875.57075492764
2021-09-21 00:00:00+00:00,148896.4221989477
2021-09-22 00:00:00+00:00,148842.20521052726
2021-09-23 00:00:00+00:00,148779.79599176362
2021-09-24 00:00:00+00:00,148803.190250428
2021-09-27 00:00:00+00:00,148732.0523478555
2021-09-28 00:00:00+00:00,148698.92735312175
2021-09-29 00:00:00+00:00,148698.92735312175
2021-09-30 00:00:00+00:00,148674.42138118672
2021-10-01 00:00:00+00:00,148920.88039415824
2021-10-04 00:00:00+00:00,148900.4894301109
2021-10-05 00:00:00+00:00,148826.40197337067
2021-10-06 00:00:00+00:00,148852.4398087819
2021-10-07 00:00:00+00:00,148816.47510347533
2021-10-08 00:00:00+00:00,148928.7683292577
2021-10-11 00:00:00+00:00,148899.81158904202
2021-10-12 00:00:00+00:00,148869.68068266194
2021-10-13 00:00:00+00:00,148913.02580584146
2021-10-14 00:00:00+00:00,148878.25041086858
2021-10-15 00:00:00+00:00,148872.76008959513
2021-10-18 00:00:00+00:00,148860.3543938524
2021-10-19 00:00:00+00:00,148810.41632478614
2021-10-20 00:00:00+00:00,148799.92435006358
2021-10-21 00:00:00+00:00,149025.12569545014
2021-10-22 00:00:00+00:00,149139.88131220502
2021-10-25 00:00:00+00:00,149281.85248530467
2021-10-26 00:00:00+00:00,149213.92794665776
2021-10-27 00:00:00+00:00,149156.6021535717
2021-10-28 00:00:00+00:00,149089.61088379248
2021-10-29 00:00:00+00:00,149178.83788147097
2021-11-01 00:00:00+00:00,149137.71061349104
2021-11-02 00:00:00+00:00,149094.32278233548
2021-11-03 00:00:00+00:00,149026.18975826463
2021-11-04 00:00:00+00:00,148982.10408940568
2021-11-05 00:00:00+00:00,149115.61831960693
2021-11-08 00:00:00+00:00,149136.73466171185
2021-11-09 00:00:00+00:00,149115.46466414758
2021-11-10 00:00:00+00:00,149118.84672017943
2021-11-11 00:00:00+00:00,149117.07983729272
2021-11-12 00:00:00+00:00,149043.14375390386
2021-11-15 00:00:00+00:00,149021.1008397026
2021-11-16 00:00:00+00:00,149073.83159202783
2021-11-17 00:00:00+00:00,149127.68730272102
2021-11-18 00:00:00+00:00,149059.2489901572
2021-11-19 00:00:00+00:00,149293.356574295
2021-11-22 00:00:00+00:00,149222.31377711642
2021-11-23 00:00:00+00:00,149179.37357033917
2021-11-24 00:00:00+00:00,149104.78388355402
2021-11-25 00:00:00+00:00,149087.0590594659
2021-11-26 00:00:00+00:00,149075.9550730323
2021-11-29 00:00:00+00:00,149204.68196562174
2021-11-30 00:00:00+00:00,149335.43032235155
2021-12-01 00:00:00+00:00,149294.96024234252
2021-12-02 00:00:00+00:00,149276.45946777827
2021-12-03 00:00:00+00:00,149252.08015989017
2021-12-06 00:00:00+00:00,149478.19861755028
2021-12-07 00:00:00+00:00,149403.87431510625
2021-12-08 00:00:00+00:00,149341.04966338552
2021-12-09 00:00:00+00:00,149351.33016809126
2021-12-10 00:00:00+00:00,149331.47031145915
2021-12-13 00:00:00+00:00,149330.27085621672
2021-12-14 00:00:00+00:00,149331.14049477602
2021-12-15 00:00:00+00:00,149379.7617278267
2021-12-16 00:00:00+00:00,149329.9318369048
2021-12-17 00:00:00+00:00,149268.21901882283
2021-12-20 00:00:00+00:00,149196.40061189895
2021-12-21 00:00:00+00:00,149222.48146485732
2021-12-22 00:00:00+00:00,149148.93993981014
2021-12-23 00:00:00+00:00,149139.12359814148
2021-12-24 00:00:00+00:00,149202.6706365102
2021-12-27 00:00:00+00:00,149167.04079233864
2021-12-28 00:00:00+00:00,149131.06717545638
2021-12-29 00:00:00+00:00,149062.1156834216
2021-12-30 00:00:00+00:00,149015.96965212104
2021-12-31 00:00:00+00:00,149357.3907884176
2022-01-03 00:00:00+00:00,149300.46811078556
2022-01-04 00:00:00+00:00,149252.0414566558
2022-01-05 00:00:00+00:00,149204.245110806
2022-01-06 00:00:00+00:00,149301.10923523945
2022-01-07 00:00:00+00:00,149592.41400501598
2022-01-10 00:00:00+00:00,149585.46472853425
2022-01-11 00:00:00+00:00,149633.6731377677
2022-01-12 00:00:00+00:00,149654.5663744169
2022-01-13 00:00:00+00:00,149657.293463821
2022-01-14 00:00:00+00:00,149707.39706872014
2022-01-17 00:00:00+00:00,149658.89830369878
2022-01-18 00:00:00+00:00,149761.7781697193
2022-01-19 00:00:00+00:00,149695.1346659822
2022-01-20 00:00:00+00:00,149664.13807823058
2022-01-21 00:00:00+00:00,149635.28193145676
2022-01-24 00:00:00+00:00,149560.46429049104
2022-01-25 00:00:00+00:00,149563.40529557734
2022-01-26 00:00:00+00:00,149608.6622222546
2022-01-27 00:00:00+00:00,149643.2335761485
2022-01-28 00:00:00+00:00,149710.06897600263
2022-01-31 00:00:00+00:00,149696.8295823287
2022-02-01 00:00:00+00:00,149870.02228598535
2022-02-02 00:00:00+00:00,149863.95841640802
2022-02-03 00:00:00+00:00,149794.6342609414
2022-02-04 00:00:00+00:00,149735.91970127393
2022-02-07 00:00:00+00:00,149772.9068869805
2022-02-08 00:00:00+00:00,149912.26148176842
