symbol,trading_date_london,entry_time_utc,exit_time_utc,side,entry_price,exit_price,units,standard_lots,initial_risk_usd,pnl_usd,return_on_starting_day_equity,exit_reason,ending_equity_usd
BTCUSDT,2021-01-01,2021-01-01T08:18:00+00:00,2021-01-01T08:27:00+00:00,short,28940.0,29016.940000000002,0.5183137525915688,,75.0,-39.87906012439651,-0.00026586040082931004,trailing_stop,149960.1209398756
BTCUSDT,2021-01-04,2021-01-04T08:44:00+00:00,2021-01-04T08:47:00+00:00,short,31800.0,31609.0,0.47157270735809936,,74.9800604699378,90.07038710539697,0.00060062893081761,trailing_stop,150050.191326981
BTCUSDT,2021-01-05,2021-01-05T08:09:00+00:00,2021-01-05T08:21:00+00:00,long,31275.86,31365.810699999998,0.47976359827349596,,75.0250956634905,43.1550714992186,0.0002876042417378694,trailing_stop,150093.3463984802
BTCUSDT,2021-01-06,2021-01-06T08:29:00+00:00,2021-01-06T08:31:00+00:00,short,34350.0,34270.13,0.43695297350358137,,75.0466731992401,34.89943399373219,0.00023251819505095377,trailing_stop,150128.24583247394
BTCUSDT,2021-01-07,2021-01-07T08:16:00+00:00,2021-01-07T08:24:00+00:00,short,36720.0,36516.14,0.4088459853825543,,75.06412291623697,83.34734258008775,0.0005551742919389994,trailing_stop,150211.59317505403
BTCUSDT,2021-01-08,2021-01-08T08:34:00+00:00,2021-01-08T08:40:00+00:00,short,38519.07,38659.425350000005,0.38996682208333183,,75.10579658752702,-54.733929801895826,-0.000364378864806459,trailing_stop,150156.85924525213
BTCUSDT,2021-01-11,2021-01-11T08:10:00+00:00,2021-01-11T08:12:00+00:00,long,35322.79,35367.21,0.4250990911115801,,75.07842962262606,18.882901627175645,0.00012575450580205655,trailing_stop,150175.7421468793
BTCUSDT,2021-01-12,2021-01-12T08:47:00+00:00,2021-01-12T08:53:00+00:00,short,35781.45,35766.76725,0.4197027849538778,,75.08787107343964,6.162391065781525,4.103453046201298e-05,trailing_stop,150181.90453794508
BTCUSDT,2021-01-13,2021-01-13T08:32:00+00:00,2021-01-13T08:44:00+00:00,short,34561.72,34611.758599999994,0.4345324958883559,,75.09095226897254,-21.743397748755864,-0.00014478041023419143,trailing_stop,150160.16114019632
BTCUSDT,2021-01-14,2021-01-14T08:07:00+00:00,2021-01-14T08:17:00+00:00,long,38596.92,38593.115399999995,0.3890470046319663,,75.08008057009816,-1.4801682338239928,-9.857263222047563e-06,trailing_stop,150158.6809719625
BTCUSDT,2021-01-15,2021-01-15T08:00:00+00:00,2021-01-15T08:05:00+00:00,long,38483.82,38430.3309,0.3901865276678939,,75.07934048598125,-20.870726197080305,-0.0001389911396529733,trailing_stop,150137.8102457654
BTCUSDT,2021-01-18,2021-01-18T08:15:00+00:00,2021-01-18T08:22:00+00:00,long,36278.68,36268.6066,0.41384584622639353,,75.0689051228827,-4.16883474737742,-2.7766721391189336e-05,trailing_stop,150133.64141101803
BTCUSDT,2021-01-19,2021-01-19T08:00:00+00:00,2021-01-19T08:02:00+00:00,long,37233.87,37110.08065,0.4032179341309889,,75.06682070550902,-49.91408597441757,-0.00033246436644914727,trailing_stop,150083.7273250436
